título,descripción,categoría,subcategoría,edad_min,edad_max,requiere_inscripcion,periodicidad,día_días,hora_inicio,hora_fin,fecha_inicio,fecha_fin,ciudad,distrito,precio_valor,recomendado,tiene_url_info,tiene_url_imagen
A taste of the moon,Vamos a leer en inglés y a divertirnos en la biblioteca.,Educación,Idiomas,2,18,True,,jueves,18:00,,08/05/2025,08/05/2025,Madrid,Vicálvaro,0.0,True,True,True
Cuentos de animalitos y animalotes,"Duendes, tesoros, aventuras, misterios... Las bibliotecas están llenas de historias que cuenteros y cuenteras nos acercan a través de su creatividad y su magia.",Cultura y Espectáculos,Club de lectura. Magia,2,18,,,jueves,18:00,,08/05/2025,08/05/2025,Madrid,Centro,0.0,True,True,True
Un día de la Prehistoria,A cargo de la compañíaLos Gorriones.,No especificada,No especificada,6,18,,,viernes,18:00,,09/05/2025,09/05/2025,Madrid,Centro,0.0,True,True,False
Teatro en familia,Taller de teatro.,Cultura y Espectáculos,Talleres. Teatro Infantil,5,18,,,viernes,17:30,,09/05/2025,09/05/2025,Madrid,Usera,0.0,True,True,True
"Oliverio Satisfecho, el mago",Compañía: Oliverio Satisfecho,Cultura y Espectáculos,Teatro Infantil,,,,,viernes,18:30,,09/05/2025,09/05/2025,Madrid,Villa de Vallecas,0.0,True,True,True
¿Hay alguien más aburrido que yo?,"Una historia divertida y tierna sobre el poder de la imaginación, la creatividad, y el vínculo entre generaciones.",No especificada,No especificada,6,18,True,,viernes,18:00,,09/05/2025,09/05/2025,Madrid,Ciudad Lineal,0.0,True,True,True
A la mar salada,"Duendes, tesoros, aventuras, misterios... Las bibliotecas están llenas de historias que cuenteros y cuenteras nos acercan a través de su creatividad y su magia.",Cultura y Espectáculos,Magia,2,18,True,,viernes,18:00,,09/05/2025,09/05/2025,Madrid,Ciudad Lineal,0.0,True,True,True
Taller castizo,"Durante esta divertida experiencia, los pequeños podrán conocer y disfrutar de las tradiciones más castizas. Una excelente oportunidad para aprender sobre la cultura mientras se divierte en un ambiente creativo y dinámico.",Cultura y Espectáculos,Talleres,5,18,,,viernes,18:00,,09/05/2025,09/05/2025,Madrid,Carabanchel,0.0,True,True,True
"Espectáculo infantil musical: ""AÚPA LERE, percusión para crecer""","Cía. Percumento, con Clara Martínez y Antonio Cimadevila.",Cultura y Espectáculos,Música,,,,,viernes,18:00,,09/05/2025,09/05/2025,Madrid,Centro,0.0,True,True,False
Concierto pedagógico,Lily cuartet.,Cultura y Espectáculos,Conciertos. Música,3,18,,,viernes,18:30,,09/05/2025,09/05/2025,Madrid,Hortaleza,0.0,True,True,True
Manoviva - Girovago & Rondella (Italia),"“Manoviva” comienza con una temática circense, con virtuosismos que cautivan al público, que dan lugar a pequeñas historias donde las palabras son reemplazadas por “símbolos”, un lenguaje universal que toca otra esfera de comprensión generalmente descuidada, historias que crean un diálogo familiar, surrealista como un cuadro de Chagall.",No especificada,No especificada,,,,,"sábado, domingo",18:00,,10/05/2025,11/05/2025,Madrid,Retiro,0.0,True,False,True
Asalto a la lectura. Animales grandes,ANIMALES GRANDES con Carmen García Iglesias.,Aire Libre. Cultura y Espectáculos,Actividades con animales. Club de lectura,,,,,sábado,11:00,,10/05/2025,10/05/2025,Madrid,Centro,0.0,True,False,True
